borough,date,incident
BRONX,Jan 2017,1691
BRONX,Feb 2017,1618
BRONX,Mar 2017,1899
BRONX,Apr 2017,1752
BRONX,May 2017,2031
BRONX,Jun 2017,2025
BRONX,Jul 2017,1806
BRONX,Aug 2017,1652
BRONX,Sep 2017,1602
BRONX,Oct 2017,1677
BRONX,Nov 2017,1774
BRONX,Dec 2017,1871
BRONX,Jan 2018,1801
BRONX,Feb 2018,1597
BRONX,Mar 2018,1900
BRONX,Apr 2018,1765
BRONX,May 2018,2077
BRONX,Jun 2018,2078
BRONX,Jul 2018,2035
BRONX,Aug 2018,1994
BRONX,Sep 2018,1939
BRONX,Oct 2018,1985
BRONX,Nov 2018,1957
BRONX,Dec 2018,1926
BRONX,Jan 2019,1761
BRONX,Feb 2019,1644
BRONX,Mar 2019,1949
BRONX,Apr 2019,1779
BRONX,May 2019,2085
BRONX,Jun 2019,2050
BRONX,Jul 2019,1997
BRONX,Aug 2019,1792
BRONX,Sep 2019,1838
BRONX,Oct 2019,1864
BRONX,Nov 2019,935
BROOKLYN,Jan 2017,3511
BROOKLYN,Feb 2017,3157
BROOKLYN,Mar 2017,3900
BROOKLYN,Apr 2017,3497
BROOKLYN,May 2017,4211
BROOKLYN,Jun 2017,4360
BROOKLYN,Jul 2017,3913
BROOKLYN,Aug 2017,3502
BROOKLYN,Sep 2017,3501
BROOKLYN,Oct 2017,3536
BROOKLYN,Nov 2017,3878
BROOKLYN,Dec 2017,3944
BROOKLYN,Jan 2018,3736
BROOKLYN,Feb 2018,3198
BROOKLYN,Mar 2018,3994
BROOKLYN,Apr 2018,3631
BROOKLYN,May 2018,4294
BROOKLYN,Jun 2018,4288
BROOKLYN,Jul 2018,4097
BROOKLYN,Aug 2018,4190
BROOKLYN,Sep 2018,3842
BROOKLYN,Oct 2018,4229
BROOKLYN,Nov 2018,3883
BROOKLYN,Dec 2018,3927
BROOKLYN,Jan 2019,3493
BROOKLYN,Feb 2019,3307
BROOKLYN,Mar 2019,3716
BROOKLYN,Apr 2019,3479
BROOKLYN,May 2019,4144
BROOKLYN,Jun 2019,4144
BROOKLYN,Jul 2019,3906
BROOKLYN,Aug 2019,3668
BROOKLYN,Sep 2019,3764
BROOKLYN,Oct 2019,3515
BROOKLYN,Nov 2019,1822
MANHATTAN,Jan 2017,2339
MANHATTAN,Feb 2017,2169
MANHATTAN,Mar 2017,2692
MANHATTAN,Apr 2017,2664
MANHATTAN,May 2017,2961
MANHATTAN,Jun 2017,3012
MANHATTAN,Jul 2017,2682
MANHATTAN,Aug 2017,2561
MANHATTAN,Sep 2017,2660
MANHATTAN,Oct 2017,2601
MANHATTAN,Nov 2017,2710
MANHATTAN,Dec 2017,2715
MANHATTAN,Jan 2018,2409
MANHATTAN,Feb 2018,2309
MANHATTAN,Mar 2018,2656
MANHATTAN,Apr 2018,2589
MANHATTAN,May 2018,2820
MANHATTAN,Jun 2018,2874
MANHATTAN,Jul 2018,2596
MANHATTAN,Aug 2018,2543
MANHATTAN,Sep 2018,2675
MANHATTAN,Oct 2018,2818
MANHATTAN,Nov 2018,2598
MANHATTAN,Dec 2018,2522
MANHATTAN,Jan 2019,2107
MANHATTAN,Feb 2019,2025
MANHATTAN,Mar 2019,2204
MANHATTAN,Apr 2019,2162
MANHATTAN,May 2019,2523
MANHATTAN,Jun 2019,2375
MANHATTAN,Jul 2019,2328
MANHATTAN,Aug 2019,2153
MANHATTAN,Sep 2019,2309
MANHATTAN,Oct 2019,2230
MANHATTAN,Nov 2019,1124
QUEENS,Jan 2017,3021
QUEENS,Feb 2017,2771
QUEENS,Mar 2017,3310
QUEENS,Apr 2017,2868
QUEENS,May 2017,3460
QUEENS,Jun 2017,3480
QUEENS,Jul 2017,3411
QUEENS,Aug 2017,3146
QUEENS,Sep 2017,3035
QUEENS,Oct 2017,3275
QUEENS,Nov 2017,3344
QUEENS,Dec 2017,3461
QUEENS,Jan 2018,3299
QUEENS,Feb 2018,2886
QUEENS,Mar 2018,3464
QUEENS,Apr 2018,3182
QUEENS,May 2018,3681
QUEENS,Jun 2018,3523
QUEENS,Jul 2018,3565
QUEENS,Aug 2018,3398
QUEENS,Sep 2018,3469
QUEENS,Oct 2018,3725
QUEENS,Nov 2018,3497
QUEENS,Dec 2018,3548
QUEENS,Jan 2019,3170
QUEENS,Feb 2019,2905
QUEENS,Mar 2019,3239
QUEENS,Apr 2019,3193
QUEENS,May 2019,3599
QUEENS,Jun 2019,3721
QUEENS,Jul 2019,3533
QUEENS,Aug 2019,3249
QUEENS,Sep 2019,3218
QUEENS,Oct 2019,3342
QUEENS,Nov 2019,1773
STATEN ISLAND,Jan 2017,524
STATEN ISLAND,Feb 2017,482
STATEN ISLAND,Mar 2017,505
STATEN ISLAND,Apr 2017,501
STATEN ISLAND,May 2017,527
STATEN ISLAND,Jun 2017,591
STATEN ISLAND,Jul 2017,530
STATEN ISLAND,Aug 2017,483
STATEN ISLAND,Sep 2017,477
STATEN ISLAND,Oct 2017,517
STATEN ISLAND,Nov 2017,519
STATEN ISLAND,Dec 2017,585
STATEN ISLAND,Jan 2018,487
STATEN ISLAND,Feb 2018,401
STATEN ISLAND,Mar 2018,501
STATEN ISLAND,Apr 2018,510
STATEN ISLAND,May 2018,561
STATEN ISLAND,Jun 2018,549
STATEN ISLAND,Jul 2018,489
STATEN ISLAND,Aug 2018,521
STATEN ISLAND,Sep 2018,501
STATEN ISLAND,Oct 2018,579
STATEN ISLAND,Nov 2018,517
STATEN ISLAND,Dec 2018,553
STATEN ISLAND,Jan 2019,463
STATEN ISLAND,Feb 2019,428
STATEN ISLAND,Mar 2019,370
STATEN ISLAND,Apr 2019,217
STATEN ISLAND,May 2019,293
STATEN ISLAND,Jun 2019,289
STATEN ISLAND,Jul 2019,270
STATEN ISLAND,Aug 2019,254
STATEN ISLAND,Sep 2019,253
STATEN ISLAND,Oct 2019,261
STATEN ISLAND,Nov 2019,125
