group,variable,2017,2018,value,Grand Total
BRONX,12 AM,752,824,678,2254
BRONX,1 AM,327,329,261,917
BRONX,2 AM,240,227,232,699
BRONX,3 AM,205,213,202,620
BRONX,4 AM,252,251,228,731
BRONX,5 AM,283,316,263,862
BRONX,6 AM,445,509,447,1401
BRONX,7 AM,767,880,770,2417
BRONX,8 AM,1306,1405,1275,3986
BRONX,9 AM,1234,1397,1045,3676
BRONX,10 AM,1143,1049,919,3111
BRONX,11 AM,1115,1145,1043,3303
BRONX,12 PM,1118,1310,1069,3497
BRONX,1 PM,1255,1302,1176,3733
BRONX,2 PM,1491,1549,1350,4390
BRONX,3 PM,1368,1565,1375,4308
BRONX,4 PM,1561,1797,1492,4850
BRONX,5 PM,1545,1680,1325,4550
BRONX,6 PM,1275,1415,1192,3882
BRONX,7 PM,1015,1153,939,3107
BRONX,8 PM,834,889,781,2504
BRONX,9 PM,720,722,652,2094
BRONX,10 PM,629,632,525,1786
BRONX,11 PM,518,495,455,1468
BROOKLYN,12 AM,1495,1599,1389,4483
BROOKLYN,1 AM,631,607,553,1791
BROOKLYN,2 AM,458,433,417,1308
BROOKLYN,3 AM,410,386,361,1157
BROOKLYN,4 AM,442,437,402,1281
BROOKLYN,5 AM,480,508,432,1420
BROOKLYN,6 AM,802,866,705,2373
BROOKLYN,7 AM,1252,1387,1175,3814
BROOKLYN,8 AM,2428,2615,2138,7181
BROOKLYN,9 AM,2381,2546,2149,7076
BROOKLYN,10 AM,2430,2417,1989,6836
BROOKLYN,11 AM,2464,2597,2147,7208
BROOKLYN,12 PM,2615,2771,2270,7656
BROOKLYN,1 PM,2755,2837,2471,8063
BROOKLYN,2 PM,3276,3352,2842,9470
BROOKLYN,3 PM,3034,3240,2666,8940
BROOKLYN,4 PM,3429,3616,2811,9856
BROOKLYN,5 PM,3299,3532,2764,9595
BROOKLYN,6 PM,2841,3077,2326,8244
BROOKLYN,7 PM,2185,2357,1899,6441
BROOKLYN,8 PM,1813,1961,1564,5338
BROOKLYN,9 PM,1593,1666,1361,4620
BROOKLYN,10 PM,1350,1387,1211,3948
BROOKLYN,11 PM,1047,1115,916,3078
MANHATTAN,12 AM,1423,1333,881,3637
MANHATTAN,1 AM,650,628,457,1735
MANHATTAN,2 AM,448,419,346,1213
MANHATTAN,3 AM,401,370,294,1065
MANHATTAN,4 AM,397,349,271,1017
MANHATTAN,5 AM,347,360,268,975
MANHATTAN,6 AM,556,590,474,1620
MANHATTAN,7 AM,748,821,613,2182
MANHATTAN,8 AM,1386,1430,1126,3942
MANHATTAN,9 AM,1647,1685,1352,4684
MANHATTAN,10 AM,1671,1717,1342,4730
MANHATTAN,11 AM,1792,1877,1349,5018
MANHATTAN,12 PM,1878,1838,1419,5135
MANHATTAN,1 PM,2019,1944,1428,5391
MANHATTAN,2 PM,2196,2187,1578,5961
MANHATTAN,3 PM,1908,1948,1498,5354
MANHATTAN,4 PM,2176,2058,1596,5830
MANHATTAN,5 PM,2051,2014,1418,5483
MANHATTAN,6 PM,1805,1788,1342,4935
MANHATTAN,7 PM,1631,1559,1118,4308
MANHATTAN,8 PM,1365,1266,983,3614
MANHATTAN,9 PM,1177,1182,838,3197
MANHATTAN,10 PM,1155,1099,813,3067
MANHATTAN,11 PM,939,947,736,2622
QUEENS,12 AM,1213,1300,1010,3523
QUEENS,1 AM,482,499,471,1452
QUEENS,2 AM,383,404,376,1163
QUEENS,3 AM,363,375,336,1074
QUEENS,4 AM,511,475,442,1428
QUEENS,5 AM,564,546,472,1582
QUEENS,6 AM,850,919,848,2617
QUEENS,7 AM,1255,1326,1227,3808
QUEENS,8 AM,2442,2554,2147,7143
QUEENS,9 AM,2051,2209,1746,6006
QUEENS,10 AM,1878,1955,1689,5522
QUEENS,11 AM,1911,2101,1794,5806
QUEENS,12 PM,2157,2213,2038,6408
QUEENS,1 PM,2326,2380,2022,6728
QUEENS,2 PM,2643,2863,2515,8021
QUEENS,3 PM,2463,2761,2234,7458
QUEENS,4 PM,2694,3027,2531,8252
QUEENS,5 PM,2963,3154,2581,8698
QUEENS,6 PM,2518,2732,2153,7403
QUEENS,7 PM,1984,2189,1789,5962
QUEENS,8 PM,1624,1684,1396,4704
QUEENS,9 PM,1278,1424,1270,3972
QUEENS,10 PM,1181,1205,1044,3430
QUEENS,11 PM,848,942,811,2601
STATEN ISLAND,12 AM,135,135,85,355
STATEN ISLAND,1 AM,58,64,40,162
STATEN ISLAND,2 AM,55,45,43,143
STATEN ISLAND,3 AM,44,38,32,114
STATEN ISLAND,4 AM,47,44,29,120
STATEN ISLAND,5 AM,53,46,42,141
STATEN ISLAND,6 AM,108,111,56,275
STATEN ISLAND,7 AM,180,158,99,437
STATEN ISLAND,8 AM,357,336,178,871
STATEN ISLAND,9 AM,347,305,158,810
STATEN ISLAND,10 AM,332,316,145,793
STATEN ISLAND,11 AM,309,322,165,796
STATEN ISLAND,12 PM,358,403,162,923
STATEN ISLAND,1 PM,412,401,202,1015
STATEN ISLAND,2 PM,475,529,234,1238
STATEN ISLAND,3 PM,422,427,218,1067
STATEN ISLAND,4 PM,568,567,272,1407
STATEN ISLAND,5 PM,503,501,262,1266
STATEN ISLAND,6 PM,435,421,232,1088
STATEN ISLAND,7 PM,315,289,160,764
STATEN ISLAND,8 PM,231,250,142,623
STATEN ISLAND,9 PM,208,177,113,498
STATEN ISLAND,10 PM,169,155,85,409
STATEN ISLAND,11 PM,120,129,69,318
