group,variable,2017,value,2019,Grand Total
BRONX,January,1691,1801,1761,5253
BRONX,February,1618,1597,1644,4859
BRONX,March,1899,1900,1949,5748
BRONX,April,1752,1765,1779,5296
BRONX,May,2031,2077,2085,6193
BRONX,June,2025,2078,2050,6153
BRONX,July,1806,2035,1997,5838
BRONX,August,1652,1994,1792,5438
BRONX,September,1602,1939,1838,5379
BRONX,October,1677,1985,1864,5526
BRONX,November,1774,1957,935,4666
BRONX,December,1871,1926,0,3797
BROOKLYN,January,3511,3736,3493,10740
BROOKLYN,February,3157,3198,3307,9662
BROOKLYN,March,3900,3994,3716,11610
BROOKLYN,April,3497,3631,3479,10607
BROOKLYN,May,4211,4294,4144,12649
BROOKLYN,June,4360,4288,4144,12792
BROOKLYN,July,3913,4097,3906,11916
BROOKLYN,August,3502,4190,3668,11360
BROOKLYN,September,3501,3842,3764,11107
BROOKLYN,October,3536,4229,3515,11280
BROOKLYN,November,3878,3883,1822,9583
BROOKLYN,December,3944,3927,0,7871
MANHATTAN,January,2339,2409,2107,6855
MANHATTAN,February,2169,2309,2025,6503
MANHATTAN,March,2692,2656,2204,7552
MANHATTAN,April,2664,2589,2162,7415
MANHATTAN,May,2961,2820,2523,8304
MANHATTAN,June,3012,2874,2375,8261
MANHATTAN,July,2682,2596,2328,7606
MANHATTAN,August,2561,2543,2153,7257
MANHATTAN,September,2660,2675,2309,7644
MANHATTAN,October,2601,2818,2230,7649
MANHATTAN,November,2710,2598,1124,6432
MANHATTAN,December,2715,2522,0,5237
QUEENS,January,3021,3299,3170,9490
QUEENS,February,2771,2886,2905,8562
QUEENS,March,3310,3464,3239,10013
QUEENS,April,2868,3182,3193,9243
QUEENS,May,3460,3681,3599,10740
QUEENS,June,3480,3523,3721,10724
QUEENS,July,3411,3565,3533,10509
QUEENS,August,3146,3398,3249,9793
QUEENS,September,3035,3469,3218,9722
QUEENS,October,3275,3725,3342,10342
QUEENS,November,3344,3497,1773,8614
QUEENS,December,3461,3548,0,7009
STATEN ISLAND,January,524,487,463,1474
STATEN ISLAND,February,482,401,428,1311
STATEN ISLAND,March,505,501,370,1376
STATEN ISLAND,April,501,510,217,1228
STATEN ISLAND,May,527,561,293,1381
STATEN ISLAND,June,591,549,289,1429
STATEN ISLAND,July,530,489,270,1289
STATEN ISLAND,August,483,521,254,1258
STATEN ISLAND,September,477,501,253,1231
STATEN ISLAND,October,517,579,261,1357
STATEN ISLAND,November,519,517,125,1161
STATEN ISLAND,December,585,553,0,1138
