date,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
Jan 2017,1691,3511,2339,3021,524
Feb 2017,1618,3157,2169,2771,482
Mar 2017,1899,3900,2692,3310,505
Apr 2017,1752,3497,2664,2868,501
May 2017,2031,4211,2961,3460,527
Jun 2017,2025,4360,3012,3480,591
Jul 2017,1806,3913,2682,3411,530
Aug 2017,1652,3502,2561,3146,483
Sep 2017,1602,3501,2660,3035,477
Oct 2017,1677,3536,2601,3275,517
Nov 2017,1774,3878,2710,3344,519
Dec 2017,1871,3944,2715,3461,585
Jan 2018,1801,3736,2409,3299,487
Feb 2018,1597,3198,2309,2886,401
Mar 2018,1900,3994,2656,3464,501
Apr 2018,1765,3631,2589,3182,510
May 2018,2077,4294,2820,3681,561
Jun 2018,2078,4288,2874,3523,549
Jul 2018,2035,4097,2596,3565,489
Aug 2018,1994,4190,2543,3398,521
Sep 2018,1939,3842,2675,3469,501
Oct 2018,1985,4229,2818,3725,579
Nov 2018,1957,3883,2598,3497,517
Dec 2018,1926,3927,2522,3548,553
Jan 2019,1761,3493,2107,3170,463
Feb 2019,1644,3307,2025,2905,428
Mar 2019,1949,3716,2204,3239,370
Apr 2019,1779,3479,2162,3193,217
May 2019,2085,4144,2523,3599,293
Jun 2019,2050,4144,2375,3721,289
Jul 2019,1997,3906,2328,3533,270
Aug 2019,1792,3668,2153,3249,254
Sep 2019,1838,3764,2309,3218,253
Oct 2019,1864,3515,2230,3342,261
