MONTH,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND,Total_Accidents
January,1801,3736,2409,3299,487,11732
February,1597,3198,2309,2886,401,10391
March,1900,3994,2656,3464,501,12515
April,1765,3631,2589,3182,510,11677
May,2077,4294,2820,3681,561,13433
June,2078,4288,2874,3523,549,13312
July,2035,4097,2596,3565,489,12782
August,1994,4190,2543,3398,521,12646
September,1939,3842,2675,3469,501,12426
October,1985,4229,2818,3725,579,13336
November,1957,3883,2598,3497,517,12452
December,1926,3927,2522,3548,553,12476
